user_id,d7_lesson_count,d7_quiz_count,d7_paper_trade_count,d7_streak_days,d7_xp_earned,d7_notification_open_rate,onboarding_goal_set,kyc_completed_d7,first_paper_trade_d7,churned
10001,8,5,3,7,420,0.82,1,1,1,0
10002,0,0,0,0,0,0.00,0,0,0,1
10003,6,4,2,5,310,0.67,1,1,1,0
10004,1,0,0,1,35,0.12,0,0,0,1
10005,10,6,4,7,480,0.91,1,1,1,0
10006,2,1,0,2,80,0.25,1,0,0,1
10007,7,3,2,6,350,0.74,1,1,1,0
10008,0,0,0,0,10,0.02,0,0,0,1
10009,5,3,1,4,250,0.58,1,1,0,0
10010,3,1,0,2,120,0.31,0,1,0,1
10011,9,5,3,6,390,0.79,1,1,1,0
10012,1,0,0,0,25,0.08,0,0,0,1
10013,6,4,2,5,300,0.65,1,1,1,0
10014,2,1,1,1,70,0.19,1,0,0,1
10015,8,4,3,7,410,0.86,1,1,1,0
10016,0,0,0,0,0,0.00,0,0,0,1
10017,5,2,1,4,220,0.52,1,1,0,0
10018,4,2,0,3,170,0.40,1,1,0,1
10019,9,6,4,7,465,0.88,1,1,1,0
10020,1,0,0,1,30,0.10,0,0,0,1
10021,7,4,2,5,335,0.71,1,1,1,0
10022,3,1,0,2,95,0.22,0,1,0,1
10023,6,3,2,6,320,0.68,1,1,1,0
10024,0,0,0,0,5,0.01,0,0,0,1
10025,8,5,3,6,400,0.80,1,1,1,0
10026,2,1,0,1,65,0.18,1,0,0,1
10027,5,3,1,4,235,0.55,1,1,0,0
10028,9,5,3,7,430,0.84,1,1,1,0
10029,1,0,0,0,20,0.05,0,0,0,1
10030,6,4,2,5,290,0.63,1,1,1,0
10031,3,2,0,2,110,0.28,1,0,0,1
10032,8,4,3,6,375,0.76,1,1,1,0
10033,0,0,0,0,0,0.00,0,0,0,1
10034,7,3,2,5,340,0.70,1,1,1,0
10035,4,2,1,3,185,0.43,1,1,0,0
10036,2,0,0,1,45,0.14,0,0,0,1
10037,9,6,4,7,475,0.93,1,1,1,0
10038,5,3,2,4,260,0.59,1,1,1,0
10039,1,1,0,1,50,0.16,0,1,0,1
10040,7,5,2,6,360,0.73,1,1,1,0
