user_id,lessons_completed,quizzes_completed,paper_trades,streak_days,xp_earned,notifications_received,notifications_opened,goal_set,kyc_completed,first_paper_trade,churn_status
U001,5,4,3,6,250,10,8,True,True,True,Retained
U002,2,1,0,2,80,10,2,False,False,False,Churned
U003,8,6,5,7,420,10,9,True,True,True,Retained
U004,1,0,0,1,35,8,1,False,False,False,Churned
U005,7,5,4,12,380,15,13,True,True,True,Retained
U006,3,2,1,3,130,12,5,True,False,True,Churned
U007,10,8,7,15,560,18,16,True,True,True,Retained
U008,4,3,2,5,210,11,7,False,True,True,Retained
U009,0,0,0,0,10,5,0,False,False,False,Churned
U010,6,4,3,8,310,14,11,True,True,True,Retained
U011,2,1,0,1,70,9,2,False,False,False,Churned
U012,9,7,6,14,500,20,18,True,True,True,Retained
U013,5,3,2,4,220,13,8,True,True,True,Retained
U014,1,1,0,2,55,7,2,False,False,False,Churned
U015,8,6,5,10,440,16,14,True,True,True,Retained
U016,3,1,0,2,95,10,3,False,True,False,Churned
U017,7,6,4,9,390,17,15,True,True,True,Retained
U018,4,2,1,3,160,9,4,False,False,True,Churned
U019,10,9,8,20,650,22,20,True,True,True,Retained
U020,2,2,1,4,120,12,6,True,False,True,Churned
U021,6,5,3,7,300,14,12,True,True,True,Retained
U022,0,0,0,1,15,6,1,False,False,False,Churned
U023,9,6,5,11,470,19,16,True,True,True,Retained
U024,5,4,2,6,260,13,10,True,True,True,Retained
U025,3,2,0,2,100,8,3,False,False,False,Churned
U026,8,7,6,13,520,21,19,True,True,True,Retained
U027,1,0,0,0,25,5,0,False,False,False,Churned
U028,6,3,2,5,240,15,9,True,True,True,Retained
U029,4,3,1,4,180,10,6,False,True,True,Retained
U030,2,0,0,1,45,7,1,False,False,False,Churned
U031,10,8,9,18,620,24,22,True,True,True,Retained
U032,7,5,4,8,360,16,13,True,True,True,Retained
U033,3,2,1,3,125,11,4,False,False,True,Churned
U034,5,4,3,7,280,13,10,True,True,True,Retained
U035,1,1,0,1,60,6,1,False,False,False,Churned
U036,8,5,5,12,450,18,15,True,True,True,Retained
U037,4,2,1,2,150,9,4,False,False,True,Churned
U038,9,8,7,16,590,20,19,True,True,True,Retained
U039,6,4,2,6,270,14,9,True,False,True,Retained
U040,2,1,0,2,75,8,2,False,False,False,Churned
U041,7,6,5,10,410,17,15,True,True,True,Retained
U042,5,3,2,4,205,12,7,False,True,True,Retained
U043,0,0,0,0,5,4,0,False,False,False,Churned
U044,8,6,4,9,430,16,13,True,True,True,Retained
U045,3,2,0,3,115,10,4,False,False,False,Churned
U046,10,9,8,21,680,25,23,True,True,True,Retained
U047,6,5,3,8,320,15,12,True,True,True,Retained
U048,1,0,0,1,30,6,1,False,False,False,Churned
U049,9,7,6,13,510,19,17,True,True,True,Retained
U050,4,3,2,5,190,11,7,True,False,True,Churned
U051,7,5,4,11,400,18,15,True,True,True,Retained
U052,2,1,0,2,65,9,2,False,False,False,Churned
U053,5,4,3,6,275,13,10,True,True,True,Retained
U054,8,7,5,14,540,21,19,True,True,True,Retained
U055,3,1,0,1,85,8,2,False,False,False,Churned
U056,6,4,3,7,290,14,11,True,True,True,Retained
U057,0,0,0,0,8,5,0,False,False,False,Churned
U058,9,8,7,17,610,23,21,True,True,True,Retained
U059,4,2,1,3,145,10,4,False,False,True,Churned
U060,7,6,5,12,460,17,15,True,True,True,Retained
U061,2,1,0,1,50,7,1,False,False,False,Churned
U062,5,3,2,5,230,12,8,True,True,True,Retained
U063,10,8,9,19,640,24,22,True,True,True,Retained
U064,3,2,1,2,110,9,3,False,False,True,Churned
U065,8,6,5,10,425,18,16,True,True,True,Retained
U066,1,1,0,2,58,6,2,False,False,False,Churned
U067,6,5,3,9,335,15,13,True,True,True,Retained
U068,4,3,2,4,175,11,6,False,True,True,Retained
U069,9,7,6,15,575,22,20,True,True,True,Retained
U070,2,0,0,1,40,8,1,False,False,False,Churned
U071,7,5,4,8,370,16,13,True,True,True,Retained
U072,5,4,2,6,255,13,10,True,True,True,Retained
U073,3,2,0,2,90,9,3,False,False,False,Churned
U074,10,9,8,22,700,26,24,True,True,True,Retained
U075,6,4,3,7,305,14,11,True,True,True,Retained
U076,1,0,0,0,20,5,0,False,False,False,Churned
U077,8,7,6,13,525,20,18,True,True,True,Retained
U078,4,2,1,3,155,10,4,False,False,True,Churned
U079,9,6,5,11,480,19,16,True,True,True,Retained
U080,5,3,2,5,215,12,8,True,False,True,Retained
U081,2,1,0,2,72,9,2,False,False,False,Churned
U082,7,6,4,10,395,17,15,True,True,True,Retained
U083,3,2,1,3,135,11,5,False,True,True,Churned
U084,8,6,5,12,455,18,16,True,True,True,Retained
U085,0,0,0,0,12,4,0,False,False,False,Churned
U086,6,5,3,8,315,15,12,True,True,True,Retained
U087,4,3,1,4,165,10,6,False,False,True,Churned
U088,10,8,7,18,600,23,21,True,True,True,Retained
U089,5,4,2,6,245,13,9,True,True,True,Retained
U090,1,0,0,1,28,6,1,False,False,False,Churned
U091,7,5,4,9,385,16,14,True,True,True,Retained
U092,2,1,0,2,68,8,2,False,False,False,Churned
U093,9,8,6,14,535,21,19,True,True,True,Retained
U094,6,4,3,7,295,14,10,True,True,True,Retained
U095,3,1,0,1,78,9,2,False,False,False,Churned
U096,8,7,5,13,515,20,18,True,True,True,Retained
U097,4,2,1,3,140,10,4,False,False,True,Churned
U098,10,9,8,20,660,24,22,True,True,True,Retained
U099,5,3,2,5,225,12,7,True,False,True,Retained
U100,1,1,0,1,52,7,1,False,False,False,Churned
