term,category,difficulty
Mutual Fund,Investment,Beginner
SIP,Investment,Beginner
NAV,Mutual Fund,Beginner
Equity,Stock Market,Beginner
Debt Fund,Mutual Fund,Beginner
ELSS,Tax Saving,Intermediate
Index Fund,Mutual Fund,Beginner
Large Cap,Stock Market,Beginner
Mid Cap,Stock Market,Beginner
Small Cap,Stock Market,Beginner
Dividend,Stock Market,Beginner
Portfolio,Investment,Beginner
Asset Allocation,Investment,Intermediate
Risk Profile,Investment,Beginner
CAGR,Returns,Intermediate
Inflation,Economy,Beginner
Liquidity,Banking,Beginner
Bond,Fixed Income,Beginner
ETF,Mutual Fund,Intermediate
Capital Gain,Taxation,Intermediate
Compound Interest,Banking,Beginner
Simple Interest,Banking,Beginner
Principal Amount,Banking,Beginner
Annual Return,Returns,Beginner
ROI,Returns,Beginner
Market Capitalization,Stock Market,Intermediate
Blue Chip Stock,Stock Market,Intermediate
Bull Market,Stock Market,Beginner
Bear Market,Stock Market,Beginner
Volatility,Stock Market,Intermediate
Diversification,Investment,Beginner
Expense Ratio,Mutual Fund,Intermediate
Exit Load,Mutual Fund,Intermediate
Lock-in Period,Investment,Beginner
Redemption,Mutual Fund,Beginner
Lump Sum,Investment,Beginner
Asset Class,Investment,Intermediate
Treasury Bill,Fixed Income,Intermediate
Government Bond,Fixed Income,Beginner
Corporate Bond,Fixed Income,Intermediate
Credit Rating,Fixed Income,Intermediate
Yield,Returns,Intermediate
Coupon Rate,Fixed Income,Intermediate
Face Value,Fixed Income,Beginner
Maturity Date,Fixed Income,Beginner
Demat Account,Stock Market,Beginner
Trading Account,Stock Market,Beginner
Broker,Stock Market,Beginner
Stock Exchange,Stock Market,Beginner
NSE,Stock Market,Beginner
BSE,Stock Market,Beginner
Sensex,Stock Market,Beginner
Nifty 50,Stock Market,Beginner
IPO,Stock Market,Beginner
FPO,Stock Market,Intermediate
Rights Issue,Stock Market,Intermediate
Bonus Shares,Stock Market,Beginner
Stock Split,Stock Market,Beginner
Buyback,Stock Market,Intermediate
Dividend Yield,Stock Market,Intermediate
P/E Ratio,Stock Market,Intermediate
EPS,Stock Market,Intermediate
Book Value,Stock Market,Intermediate
Intrinsic Value,Stock Market,Advanced
Market Price,Stock Market,Beginner
Margin Trading,Stock Market,Advanced
Futures,Derivatives,Advanced
Options,Derivatives,Advanced
Call Option,Derivatives,Advanced
Put Option,Derivatives,Advanced
Strike Price,Derivatives,Advanced
Premium,Derivatives,Intermediate
Hedging,Derivatives,Advanced
Arbitrage,Derivatives,Advanced
Stop Loss,Trading,Beginner
Limit Order,Trading,Beginner
Market Order,Trading,Beginner
Short Selling,Trading,Advanced
Forex,Currency,Intermediate
Exchange Rate,Currency,Beginner
Currency Risk,Currency,Intermediate
GDP,Economy,Beginner
Fiscal Deficit,Economy,Intermediate
Monetary Policy,Economy,Intermediate
Repo Rate,Banking,Beginner
Reverse Repo Rate,Banking,Intermediate
CRR,Banking,Intermediate
SLR,Banking,Intermediate
