device_changed,location_changed,time_since_registration,order_value,orders_last_30min,failed_mpin_count_24hr,login_count_today,label,category
False,False,800,1271.58,2,1,2,normal,
False,False,878,2499.39,2,1,4,normal,
False,False,4,65134.73,0,0,3,anomaly,new_account_large_order
False,False,384,6430.34,3,0,2,normal,
False,False,1221,7542.12,0,0,1,normal,
False,False,347,6089.95,4,0,5,normal,
False,False,578,9761.01,4,0,1,normal,
True,False,965,13895.07,11,1,1,anomaly,unusual_trading_velocity
False,False,1616,23339.63,2,0,2,normal,
False,True,243,13616.1,3,1,4,normal,
False,False,1068,11170.09,4,0,2,normal,
False,False,1546,13341.54,2,1,4,normal,
False,False,509,10101.41,1,0,1,normal,
False,False,500,9604.29,4,1,5,normal,
False,False,1270,34187.19,1,1,1,normal,
False,False,78,29530.56,1,1,1,normal,
False,False,794,35133.66,2,0,4,normal,
False,False,1958,20402.84,0,0,5,normal,
False,False,950,775.21,2,0,1,normal,
False,False,213,18776.64,4,1,1,normal,
False,False,748,26182.49,4,0,5,normal,
False,False,388,19995.97,2,0,1,normal,
True,False,1857,19971.4,1,1,3,normal,
False,False,1812,10498.95,1,1,4,normal,
False,False,1349,8700.84,0,0,4,normal,
False,False,328,29431.7,1,1,3,normal,
False,False,641,15687.32,4,1,4,normal,
False,False,1617,16731.96,1,1,5,normal,
False,False,1634,1589.59,4,1,1,normal,
False,False,453,25708.72,1,1,4,normal,
False,False,906,35151.74,2,1,4,normal,
False,False,90,39185.41,2,1,1,normal,
False,False,622,17345.53,1,0,5,normal,
False,False,259,2380.41,2,1,3,normal,
False,False,1886,36626.21,0,0,3,normal,
False,True,747,18283.15,0,1,2,anomaly,impossible_location_change
False,True,88,7564.0,4,0,1,normal,
False,False,1464,13425.54,2,0,2,normal,
False,False,1791,31346.71,4,1,2,normal,
False,False,395,22982.98,3,1,3,normal,
False,False,529,36636.89,1,0,4,normal,
False,False,51,14748.3,2,0,2,normal,
False,False,1,98506.82,2,0,1,anomaly,new_account_large_order
False,False,901,14506.66,2,1,4,normal,
False,False,210,29366.91,1,0,3,normal,
False,False,984,8797.29,3,0,4,normal,
False,False,1481,37254.81,2,1,4,normal,
False,False,450,16216.91,0,1,1,normal,
False,False,876,8816.03,2,1,4,normal,
False,False,1785,11650.34,1,0,4,normal,
False,False,1014,30665.18,1,1,1,normal,
False,False,1002,8962.35,1,1,2,normal,
False,False,189,25167.46,1,0,2,normal,
False,False,1471,3574.15,1,0,4,normal,
False,False,1428,21282.24,1,0,2,normal,
False,False,284,33001.5,2,1,5,normal,
False,False,1542,30996.54,0,0,1,normal,
False,False,952,17641.84,0,0,1,normal,
False,False,1954,36883.56,2,1,3,normal,
False,False,558,8566.0,0,1,2,normal,
True,False,606,31411.28,3,1,4,normal,
False,False,1438,8177.92,1,1,5,normal,
True,False,779,6734.32,2,1,3,normal,
False,False,1139,1632.86,1,1,1,normal,
False,False,953,30262.69,2,0,4,normal,
False,False,762,17215.97,2,0,3,normal,
False,False,1473,37825.94,1,0,3,normal,
False,False,296,5584.64,1,1,1,normal,
False,False,1124,17071.03,3,1,1,normal,
False,False,1915,24537.02,0,0,1,normal,
False,False,1576,31128.73,1,0,2,normal,
True,False,198,13913.67,1,1,2,normal,
False,False,1199,25377.13,3,0,4,normal,
False,False,1407,10176.56,2,0,3,normal,
False,False,1006,7239.78,0,0,3,normal,
False,False,1411,12849.83,4,0,1,normal,
True,False,811,14546.91,4,1,3,normal,
False,False,625,14008.47,19,1,2,anomaly,unusual_trading_velocity
False,False,1747,24601.05,2,1,5,normal,
False,False,1570,6832.34,3,0,4,normal,
False,False,392,24735.81,1,1,5,normal,
False,False,655,890.11,4,0,5,normal,
False,False,95,25014.24,0,0,5,normal,
False,False,1578,11444.59,3,0,4,normal,
False,False,478,23660.09,1,0,2,normal,
False,False,1050,33652.56,0,0,4,normal,
False,False,168,34987.79,4,1,5,normal,
False,False,1279,30527.27,2,1,1,normal,
False,False,1951,33736.67,2,0,2,normal,
False,False,1354,29341.07,3,0,5,normal,
False,False,50,22016.88,2,0,5,normal,
False,False,263,20004.71,3,0,4,normal,
False,False,1687,21854.04,2,1,3,normal,
False,False,1394,21230.08,0,1,1,normal,
False,False,1209,39513.01,2,1,2,normal,
False,False,1753,37149.75,1,1,1,normal,
False,False,290,5130.81,1,1,1,normal,
False,False,181,36460.37,0,1,1,normal,
False,False,1592,2742.48,1,1,1,normal,
False,False,604,10786.28,2,0,4,normal,
False,False,548,11970.83,0,0,2,normal,
False,False,462,34026.02,2,0,4,normal,
False,False,1766,2656.99,2,0,2,normal,
False,False,221,7088.97,1,1,5,normal,
False,False,476,37740.01,0,0,4,normal,
False,False,168,154106.55,3,7,2,anomaly,failed_mpin_then_large_order
False,False,1095,27670.18,1,1,5,normal,
False,False,1652,19204.99,0,0,4,normal,
False,False,1956,5891.38,3,0,5,normal,
False,False,1781,21233.21,1,0,3,normal,
False,True,344,24967.0,1,0,4,normal,
False,False,1536,17547.81,3,0,4,normal,
False,False,1460,34571.69,3,0,3,normal,
False,False,1721,18985.55,1,1,1,normal,
False,False,1947,39888.41,1,1,2,normal,
False,False,1873,8972.48,3,0,2,normal,
False,False,1059,6696.69,3,0,5,normal,
False,False,1184,7725.76,0,0,2,normal,
False,False,1515,25579.53,2,0,1,normal,
False,False,1570,8909.35,1,1,5,normal,
False,False,952,39660.37,4,0,1,normal,
False,False,481,16191.49,2,1,4,normal,
False,False,965,25531.03,1,1,3,normal,
False,False,219,28195.23,4,0,2,normal,
False,False,1405,29864.42,0,1,3,normal,
False,False,1307,37379.39,4,1,4,normal,
False,False,265,33893.18,3,1,3,normal,
False,False,1165,20388.09,4,1,5,normal,
False,False,1162,29594.86,2,0,5,normal,
False,False,12,5069.21,1,0,1,normal,
False,False,1809,19735.22,0,0,2,normal,
False,False,663,19056.53,2,0,5,normal,
False,False,492,34651.93,1,1,1,normal,
False,False,1888,10553.24,4,0,4,normal,
True,False,101,38799.1,2,1,2,normal,
False,False,1989,20288.08,4,0,4,normal,
False,False,193,4444.83,0,1,1,normal,
False,False,784,38868.23,2,0,4,normal,
False,False,637,11080.42,4,0,4,normal,
False,False,1804,25794.8,3,0,2,normal,
False,False,76,12148.89,2,1,1,normal,
False,False,983,37752.19,1,0,2,normal,
False,False,977,39145.17,2,1,1,normal,
False,False,1803,5841.65,0,1,1,normal,
False,False,268,14799.68,2,1,2,normal,
True,False,881,4832.15,1,0,2,normal,
False,False,1938,21712.16,2,1,1,normal,
False,False,1635,30787.78,2,0,4,normal,
False,False,1049,31489.53,3,0,5,normal,
False,False,323,37418.86,3,1,5,normal,
False,False,1351,16721.2,1,0,2,normal,
False,False,242,3371.31,3,0,4,normal,
False,False,129,10783.01,0,1,3,normal,
False,False,104,5209.42,3,0,2,normal,
False,False,41,25409.56,0,1,3,normal,
False,False,877,3812.57,0,0,2,normal,
False,False,1440,19857.95,2,0,1,normal,
False,False,963,12026.9,1,1,2,normal,
False,False,1717,34002.47,3,1,2,normal,
False,False,783,32004.03,2,1,2,normal,
True,False,869,25841.34,2,1,1,normal,
False,False,989,10092.53,3,1,4,normal,
False,False,1918,6976.38,2,0,4,normal,
False,False,1612,31180.48,0,1,4,normal,
False,False,1123,26038.34,4,1,1,normal,
False,False,598,29598.1,1,1,5,normal,
False,False,1853,12960.3,4,0,1,normal,
False,False,1799,3030.96,0,0,2,normal,
False,False,874,11447.24,0,1,3,normal,
False,False,296,36047.3,3,0,1,normal,
False,False,1731,39049.57,1,1,5,normal,
False,False,547,23425.85,2,0,3,normal,
False,False,1921,28752.99,0,0,2,normal,
False,False,1773,16246.45,0,1,2,normal,
False,False,1819,38592.36,4,0,3,normal,
False,False,1125,3907.29,3,0,2,normal,
False,False,885,35964.0,3,1,2,normal,
False,False,1939,4054.24,1,1,5,normal,
True,False,1078,35576.42,2,0,5,normal,
False,False,92,28344.83,4,0,1,normal,
False,False,104,37161.47,3,1,5,normal,
False,False,1221,23400.59,3,0,3,normal,
False,False,1362,10122.25,4,0,4,normal,
False,False,414,39416.08,4,1,2,normal,
False,False,1233,29701.93,0,1,2,normal,
False,False,1303,17389.33,2,0,2,normal,
False,False,720,18084.52,15,1,2,anomaly,unusual_trading_velocity
False,False,1833,10447.18,0,1,1,normal,
False,False,738,12060.6,3,1,4,normal,
False,False,1811,37270.54,4,0,4,normal,
False,False,1816,7945.74,3,1,3,normal,
False,False,222,25409.68,3,0,5,normal,
False,False,496,14747.68,4,1,4,normal,
False,False,779,37166.41,2,1,2,normal,
False,False,241,16601.46,4,1,5,normal,
False,False,1171,1737.27,4,1,1,normal,
False,False,1167,37974.12,1,1,3,normal,
False,False,1390,4509.62,4,0,3,normal,
False,False,1748,30881.71,2,1,5,normal,
False,False,496,39656.97,0,1,4,normal,
False,False,1193,4230.61,3,0,4,normal,
False,False,117,21938.57,3,0,2,normal,
False,False,530,36609.58,1,0,5,normal,
False,False,762,6359.2,3,0,4,normal,
False,False,155,4587.6,0,0,2,normal,
False,False,1045,30245.85,1,1,4,normal,
False,False,402,24441.38,4,0,5,normal,
False,False,1184,26146.06,1,1,1,normal,
False,False,705,78026.67,1,6,2,anomaly,failed_mpin_then_large_order
True,False,971,10433.32,1,1,3,normal,
False,False,1429,11880.04,2,1,2,normal,
False,False,801,23929.63,3,0,2,normal,
False,False,754,36889.95,0,0,2,normal,
False,False,1428,19511.33,3,0,3,normal,
False,False,713,31206.22,4,0,5,normal,
False,False,953,26819.12,3,1,2,normal,
False,False,505,35039.81,2,0,4,normal,
False,False,1882,31386.54,3,1,3,normal,
False,False,315,34352.44,4,1,5,normal,
False,False,1169,5225.86,1,0,5,normal,
False,False,1388,39658.36,2,1,4,normal,
False,False,1358,8720.69,1,1,3,normal,
False,False,1795,38578.81,1,0,4,normal,
False,False,723,28222.06,4,1,5,normal,
False,False,1131,2283.72,3,0,2,normal,
False,False,1498,12343.25,2,0,2,normal,
False,False,1700,21632.95,0,0,1,normal,
False,False,1563,24085.4,1,1,3,normal,
False,False,1739,30903.48,2,1,3,normal,
False,False,866,22519.56,2,0,1,normal,
False,False,1312,11875.71,4,1,1,normal,
False,False,1307,39966.98,2,1,3,normal,
False,False,1379,2572.44,1,1,5,normal,
False,False,1130,4047.68,2,1,2,normal,
False,False,1573,1618.58,2,1,5,normal,
False,False,1049,19127.82,0,0,1,normal,
False,False,4,101959.89,1,0,1,anomaly,new_account_large_order
False,False,1435,34638.22,0,1,1,normal,
False,False,1947,21145.39,2,0,1,normal,
False,False,1183,30310.87,0,0,4,normal,
False,False,1024,23130.94,0,0,1,normal,
False,False,947,13575.89,0,1,5,normal,
False,False,837,2757.82,1,1,2,normal,
False,False,452,1890.62,2,1,5,normal,
False,False,937,16507.82,1,1,2,normal,
False,False,1589,25163.73,4,0,2,normal,
True,False,827,104086.47,3,0,1,anomaly,account_takeover
True,False,610,28937.75,2,1,5,normal,
False,False,563,9702.66,1,1,1,normal,
False,False,1278,20781.83,3,0,1,normal,
False,False,865,11572.53,3,1,4,normal,
False,False,823,28128.55,4,1,2,normal,
False,False,10,28837.39,4,1,2,normal,
False,False,1179,25389.31,2,0,5,normal,
False,False,1905,35915.98,2,0,1,normal,
False,False,860,24047.95,3,0,3,normal,
False,False,619,2179.99,0,0,1,normal,
False,False,1877,26573.96,0,0,3,normal,
False,False,682,11076.55,0,0,3,normal,
False,False,658,17647.1,1,1,2,normal,
False,False,242,7663.64,4,0,5,normal,
False,False,814,26444.05,2,1,4,normal,
False,False,10,19077.34,3,0,2,normal,
False,False,1981,38240.67,1,1,5,normal,
False,False,1047,8903.18,3,0,1,normal,
False,False,322,32219.27,2,0,2,normal,
False,False,196,11415.9,3,0,4,normal,
False,False,1887,39235.53,3,0,5,normal,
False,False,845,36840.93,4,1,3,normal,
False,False,1321,19483.33,2,0,5,normal,
False,False,1408,38481.76,1,1,1,normal,
False,False,744,31088.23,4,0,3,normal,
False,False,1006,31102.4,3,0,4,normal,
False,False,1751,3965.35,3,0,1,normal,
False,False,626,19612.97,1,0,4,normal,
False,False,693,9925.99,0,1,5,normal,
False,False,1805,21078.78,4,1,2,normal,
True,False,1845,35633.07,1,0,4,normal,
False,False,175,36019.09,1,0,5,normal,
False,False,145,39322.82,1,0,3,normal,
False,False,1778,2904.16,4,0,2,normal,
False,False,1574,4233.09,1,1,3,normal,
False,False,338,4868.98,2,1,2,normal,
False,False,1881,34234.43,1,0,1,normal,
False,False,50,32824.42,4,0,4,normal,
False,False,1425,11986.09,3,0,4,normal,
False,False,1707,11259.09,4,1,1,normal,
False,False,1350,34823.34,1,0,2,normal,
